Reference   	#	Loc.	Lat.	Long.	d13C	Temp	[CO2]aqu.	ep	Log(CO2aq)
								x	
Degens et al, 1968, DSR 15: 11-20	346	P	-7	81	-17.4	18.2	11.4	9.2	1.06
Fontugne and Duplessy, 1978, EPSL	35	P	-31	-78	-21.6	18.2	11.4	13.4	1.06
Francois et al., 1993 GBC	472	I	-39	-60	-19.5	18.1	11.4	11.3	1.06
Francois et al., 1993 GBC	470	I	-40	-61	-19.3	17.9	11.5	11.1	1.06
Degens et al, 1968, DSR 15: 11-20	339	P	-12	78	-21.2	17.9	11.5	13.0	1.06
Francois et al., 1993 GBC	471	I	-40	-61	-20.4	17.8	11.5	12.2	1.06
Fisher, 1989;  ANT-IV/2	137	P	-1000	-1000	-23.6	17.7	11.5	15.4	1.06
Fontugene et al., 1991, Mar.Chem	420	P	-1000	1000	-22.6	17.1	11.7	14.3	1.07
Fontugene et al., 1991, Mar.Chem	421	P	-1000	1000	-22.4	17.1	11.7	14.1	1.07
Fontugne and Duplessy, 1978, EPSL	34	P	-35	-78	-21.1	16.8	11.8	12.8	1.07
Degens et al, 1968, DSR 15: 11-20	341	P	-12	78	-18.0	16.6	11.9	9.6	1.08
Fisher, 1989,  Indomed -leg 12	134	P	-1000	-1000	-18.1	16.4	12.0	9.7	1.08
Francois et al., 1993 GBC	469	I	-41	-62	-17.9	16.4	12.0	9.5	1.08
Fisher, 1989;  ANT-IV/2	138	P	-1000	-1000	-24.7	16.3	12.0	16.3	1.08
Fontugne and Duplessy, 1978, EPSL	33	P	-37	-78	-20.3	16.2	12.0	11.9	1.08
Francois et al., 1993 GBC	464	I	-44	-65	-18.4	16.2	12.1	10.0	1.08
Degens et al, 1968, DSR 15: 11-20	340	P	-12	78	-19.8	16.0	12.1	11.4	1.08
Fisher, 1989,  Indomed -leg 12	133	P	-34	49	-22.2	16.0	12.1	13.7	1.08
Francois et al., 1993 GBC	463	I	-44	-66	-18.5	15.7	12.2	10.0	1.09
Fontugene et al., 1991, Mar.Chem	419	P	-1000	1000	-19.6	15.5	12.3	11.1	1.09
Fontugene et al., 1991, Mar.Chem	417	P	-1000	1000	-20.7	15.3	12.4	12.2	1.09
Fisher, 1989,  Indomed -leg 12	135	P	-1000	-1000	-18.0	15.3	12.4	9.5	1.09
Francois et al., 1993 GBC	465	I	-44	-65	-17.7	15.3	12.4	9.2	1.09
Francois et al., 1993 GBC	468	I	-42	-64	-17.6	15.2	12.4	9.1	1.09
Fontugene et al., 1991, Mar.Chem	416	P	-1000	1000	-23.1	15.1	12.5	14.5	1.10
Fontugene et al., 1991, Mar.Chem	418	P	-1000	1000	-20.0	15.1	12.5	11.5	1.10
Francois et al., 1993 GBC	462	I	-45	-66	-19.1	14.9	12.5	10.5	1.10
Francois et al., 1993 GBC	467	I	-42	-63	-17.2	14.8	12.6	8.6	1.10
Sackett et al., 1965, Science	4	P	-39	157	-24.0	14.4	12.7	15.4	1.10
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	317	P	-39	-157	-24.0	14.4	12.7	15.4	1.10
Francois et al., 1993 GBC	466	I	-43	-64	-16.5	14.2	12.8	7.9	1.11
Fontugene et al., 1991, Mar.Chem	414	P	-1000	1000	-21.6	13.8	13.0	12.9	1.11
Fontugene et al., 1991, Mar.Chem	415	P	-1000	1000	-20.9	13.8	13.0	12.2	1.11
Fontugene et al., 1991, Mar.Chem	413	P	-1000	1000	-21.8	13.5	13.1	13.1	1.12
Fisher, 1989;  ANT-IV/2	139	P	-1000	-1000	-22.4	12.4	13.5	13.6	1.13
Fisher, 1989;  ANT-IV/2	141	P	-1000	-1000	-21.3	12.3	13.6	12.4	1.13
