"Latitude (S = -)","Longitude (W = -)","Depth (meters)","Holocene d13C","LGM d13C","Time series =1; Time slice = 2; PE = phytodetritus effect"
32.80,-118.80,1442,-0.0850,-0.4500,2
37.55,138.58,1476,0.4500,0.4900,2
-34.38,130.42,1502,0.6600,0.4300,2
32.58,140.34,1503,-0.0700,-0.1900,2
48.87,150.43,1510,-999.9900,-0.1100,2
-2.22,156.98,1598,0.4100,0.2200,2
48.28,149.07,1600,-999.9900,-0.3600,2
38.33,140.18,1650,-999.9900,0.2100,2
48.75,150.43,1700,-999.9900,-0.1400,2
32.28,-118.40,1759,-0.3100,-0.3800,2
32.28,-118.38,1783,0.0820,-0.1963,2
38.47,140.20,1904,-999.9900,-0.0390,2
31.67,-118.18,1915,-0.3050,-0.4300,2
0.03,155.87,1924,0.4200,0.0400,2
48.61,150.43,1980,0.1000,-0.4100,2
-34.59,130.26,2003,0.5300,0.3100,2
31.28,-117.63,2033,-0.0125,-0.3100,2
31.25,-117.58,2042,-0.2000,-0.6933,2
31.59,140.26,2047,-999.9900,-0.1400,2
-1.63,159.22,2158,0.3100,-0.0800,2
-1.62,159.23,2169,0.3900,-0.0300,2
-0.02,158.68,2247,0.4000,-0.0800,2
51.27,167.73,2317,-999.9900,-0.5687,2
51.29,167.45,2323,-999.9900,-0.3100,2
51.30,167.66,2335,-0.1500,-0.3900,2
1.40,157.30,2342,0.4000,-0.0030,2
0.43,158.80,2367,0.5200,0.1075,1
51.16,167.66,2393,-0.0300,-999.9900,2
36.98,-123.28,2400,0.1300,-0.3300,2
-23.00,166.15,2470,0.7400,0.1300,2
-34.75,130.14,2495,0.3600,0.1100,2
51.12,167.79,2507,-0.0800,-0.4600,2
0.32,159.36,2520,0.2700,-0.1550,2
38.47,140.17,2525,0.3000,-0.2200,2
42.21,-125.80,2592,-999.9900,0.0500,2
51.11,167.83,2610,0.0500,-0.5000,2
-64.00,-170.00,2688,-999.9900,0.0700,2
32.09,133.54,2700,-0.1200,-0.2000,2
2.78,156.22,2767,0.4000,-0.0700,2
51.11,167.90,2804,0.2400,-0.3900,2
-44.30,-111.20,2869,0.4600,-0.3500,2
-50.00,-115.00,2891,-999.9900,-0.2300,2
-50.10,-114.50,2891,0.4900,-0.2300,2
51.10,167.91,2920,0.2900,-0.2700,2
-63.00,-170.00,2940,-999.9900,0.0700,2
28.53,134.13,2942,0.2300,-0.02,1
-0.02,160.40,2948,0.3300,-0.0950,2
52.99,164.64,2960,0.2600,-999.9900,2
-53.40,-123.10,2964,0.4600,-0.1800,2
53.00,164.65,2980,0.1700,-0.3900,2
-34.89,130.06,3001,0.4700,0.1100,2
51.08,167.95,3041,0.0900,-0.1700,2
-56.07,-115.08,3094,0.2100,0.0900,2
33.36,159.13,3107,-0.2400,-999.9900,2
51.08,167.99,3160,0.2100,-0.1700,2
-17.00,-114.10,3177,0.3400,-0.1100,2
1.23,160.53,3188,0.1050,0.0000,2
3.62,-83.97,3205,0.0400,-0.3000,2
51.07,167.98,3225,0.1100,-0.3000,2
-0.10,-95.65,3231,0.1400,-0.2550,2
-66.00,-170.00,3232,-999.9900,0.0000,2
-14.10,-96.10,3248,0.2100,-0.1400,2
32.40,138.27,3252,0.3400,-0.0900,2
-3.10,-90.82,3296,0.0750,-0.4200,2
51.06,167.00,3296,0.2400,-0.2600,2
50.42,167.73,3300,0.3200,-0.3900,2
31.55,138.25,3320,0.5100,-0.0700,2
